epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.3959,0.75741,0.93102,1.21504,0.63343,0.73387,0.73668,0.47406,1.35061,1.29214,1.84797,0.000415259,0.000415259,0.000415259
2,175.018,0.78621,0.79296,1.22506,0.73273,0.60877,0.71932,0.48236,1.31391,1.30106,1.79321,0.000815454,0.000815454,0.000815454
3,257.489,0.82071,0.80656,1.23706,0.77946,0.6165,0.69877,0.40514,1.41994,1.46359,1.8714,0.00119915,0.00119915,0.00119915
4,340.461,0.84546,0.82048,1.25472,0.65119,0.66813,0.71069,0.43649,1.43571,1.33312,1.84697,0.00117575,0.00117575,0.00117575
5,423.928,0.84443,0.8213,1.25771,0.59347,0.70435,0.68596,0.40239,1.351,1.30447,1.78194,0.001151,0.001151,0.001151
6,506.864,0.84475,0.80906,1.25479,0.72401,0.69036,0.74096,0.44437,1.35957,1.25829,1.78295,0.00112625,0.00112625,0.00112625
7,589.958,0.84499,0.80991,1.25348,0.68278,0.71306,0.75373,0.46223,1.33337,1.13631,1.7984,0.0011015,0.0011015,0.0011015
8,672.671,0.82649,0.77356,1.23313,0.6515,0.72288,0.70429,0.44118,1.48984,1.42267,2.02628,0.00107675,0.00107675,0.00107675
9,755.325,0.82456,0.7649,1.23369,0.74264,0.72311,0.72982,0.44387,1.32986,1.2869,1.81892,0.001052,0.001052,0.001052
10,838.426,0.81736,0.75297,1.22675,0.66794,0.73775,0.72751,0.4735,1.3447,1.22107,1.83534,0.00102725,0.00102725,0.00102725
11,921.216,0.79305,0.72718,1.22013,0.6429,0.73894,0.71906,0.46505,1.22885,1.35181,1.63088,0.0010025,0.0010025,0.0010025
12,1003.78,0.79301,0.72145,1.21452,0.62737,0.72667,0.71758,0.4563,1.39396,1.25353,1.84214,0.00097775,0.00097775,0.00097775
13,1086.55,0.78351,0.71572,1.20795,0.61835,0.753,0.73751,0.46548,1.32001,1.31191,1.70458,0.000953,0.000953,0.000953
14,1169.38,0.77221,0.69295,1.196,0.63069,0.73698,0.75,0.48545,1.29705,1.24473,1.7581,0.00092825,0.00092825,0.00092825
15,1251.75,0.76861,0.69831,1.20036,0.62358,0.68725,0.68111,0.4518,1.33317,1.47325,1.73384,0.0009035,0.0009035,0.0009035
16,1333.89,0.76096,0.67942,1.19417,0.6875,0.72912,0.74415,0.48512,1.35728,1.35426,1.77531,0.00087875,0.00087875,0.00087875
17,1416.1,0.74911,0.66657,1.1841,0.66019,0.71595,0.71351,0.45035,1.41546,1.37468,1.85888,0.000854,0.000854,0.000854
18,1499.01,0.74348,0.66266,1.17833,0.63097,0.70939,0.72837,0.47831,1.41527,1.38458,1.84559,0.00082925,0.00082925,0.00082925
19,1581.44,0.73401,0.64263,1.17316,0.711,0.59365,0.70906,0.45996,1.35769,1.35128,1.89437,0.0008045,0.0008045,0.0008045
20,1663.61,0.7341,0.63688,1.16665,0.68756,0.70922,0.72682,0.46741,1.39357,1.28219,1.84685,0.00077975,0.00077975,0.00077975
21,1746.1,0.72205,0.62712,1.1661,0.65115,0.79445,0.74691,0.46864,1.26159,1.43484,1.709,0.000755,0.000755,0.000755
22,1829.87,0.70539,0.61453,1.15952,0.71529,0.64481,0.72705,0.45425,1.29739,1.41449,1.7468,0.00073025,0.00073025,0.00073025
23,1912.65,0.69751,0.60609,1.14679,0.71582,0.68674,0.74659,0.47533,1.33921,1.22992,1.81033,0.0007055,0.0007055,0.0007055
24,1995.5,0.70182,0.59975,1.14768,0.71403,0.66917,0.7184,0.45203,1.38646,1.45653,1.89693,0.00068075,0.00068075,0.00068075
25,2079.17,0.68863,0.58838,1.14336,0.68095,0.75841,0.73289,0.47922,1.34022,1.311,1.82439,0.000656,0.000656,0.000656
26,2162.28,0.68521,0.5831,1.14005,0.7617,0.72214,0.7431,0.475,1.30044,1.41203,1.81664,0.00063125,0.00063125,0.00063125
27,2245.43,0.67482,0.57283,1.13574,0.72411,0.71181,0.74007,0.49236,1.32298,1.32129,1.78962,0.0006065,0.0006065,0.0006065
28,2329.39,0.66598,0.55785,1.12689,0.73487,0.767,0.77108,0.48608,1.2973,1.31714,1.77002,0.00058175,0.00058175,0.00058175
29,2412.57,0.65932,0.56131,1.12555,0.65987,0.67672,0.71724,0.48915,1.26492,1.41546,1.72635,0.000557,0.000557,0.000557
30,2496.08,0.66271,0.5568,1.12083,0.74354,0.69438,0.7314,0.48458,1.39878,1.26765,1.91454,0.00053225,0.00053225,0.00053225
31,2579.8,0.64826,0.55034,1.12076,0.58294,0.7675,0.696,0.43608,1.33347,1.51774,1.76632,0.0005075,0.0005075,0.0005075
32,2663.85,0.63716,0.5385,1.11902,0.71731,0.68447,0.74123,0.47332,1.41394,1.43269,1.9496,0.00048275,0.00048275,0.00048275
33,2747.44,0.63,0.52771,1.11038,0.673,0.71596,0.73944,0.48382,1.46624,1.38805,2.04675,0.000458,0.000458,0.000458
34,2830.45,0.63531,0.52454,1.11352,0.71914,0.64717,0.72846,0.47284,1.35918,1.36996,1.93173,0.00043325,0.00043325,0.00043325
35,2914.69,0.62159,0.5206,1.10152,0.70902,0.71409,0.7314,0.47232,1.33106,1.40918,1.83355,0.0004085,0.0004085,0.0004085
36,2997.64,0.61106,0.50266,1.09375,0.65483,0.67433,0.69705,0.46174,1.30671,1.49282,1.79461,0.00038375,0.00038375,0.00038375
37,3081.2,0.6075,0.50619,1.09071,0.71669,0.76845,0.74567,0.49638,1.36542,1.42371,1.89189,0.000359,0.000359,0.000359
38,3164.97,0.60125,0.49737,1.09136,0.66503,0.69864,0.71401,0.48886,1.31936,1.55191,1.85775,0.00033425,0.00033425,0.00033425
39,3248.52,0.59548,0.48709,1.08595,0.67809,0.7268,0.72163,0.48282,1.34622,1.57038,1.87242,0.0003095,0.0003095,0.0003095
40,3332.47,0.5883,0.48728,1.08359,0.72369,0.6244,0.70952,0.47678,1.31601,1.54316,1.86458,0.00028475,0.00028475,0.00028475
41,3416.56,0.4897,0.30468,1.02964,0.64505,0.7565,0.7099,0.48051,1.32888,1.50353,1.84248,0.00026,0.00026,0.00026
42,3499.43,0.47176,0.28395,1.01233,0.72079,0.74512,0.74823,0.49603,1.37064,1.3813,1.99092,0.00023525,0.00023525,0.00023525
43,3583.12,0.45383,0.2753,1.00026,0.69268,0.64665,0.70653,0.47523,1.31967,1.39863,1.91039,0.0002105,0.0002105,0.0002105
44,3666.7,0.44707,0.2702,0.99415,0.71726,0.66714,0.71831,0.48323,1.3482,1.50754,1.96972,0.00018575,0.00018575,0.00018575
45,3749.16,0.44174,0.26256,0.99801,0.70875,0.72178,0.74027,0.49369,1.31203,1.5088,1.89974,0.000161,0.000161,0.000161
46,3831.66,0.42848,0.26025,0.98629,0.66664,0.74626,0.69533,0.45555,1.34516,1.6477,1.94235,0.00013625,0.00013625,0.00013625
47,3914.61,0.41739,0.24941,0.98061,0.68745,0.75726,0.72756,0.48435,1.34571,1.62551,1.94721,0.0001115,0.0001115,0.0001115
48,3998.39,0.40758,0.24535,0.97073,0.72179,0.7089,0.71611,0.4744,1.28232,1.59013,1.87908,8.675e-05,8.675e-05,8.675e-05
49,4084.01,0.40252,0.24259,0.96729,0.76658,0.66905,0.7184,0.47098,1.30289,1.58382,1.92134,6.2e-05,6.2e-05,6.2e-05
50,4168.84,0.39568,0.23935,0.96842,0.71004,0.70599,0.71106,0.48199,1.29892,1.57298,1.92495,3.725e-05,3.725e-05,3.725e-05
